Nr   tilename      min_lat       max_lat    min_lon      max_lon  #data_pts #no-data_pts
----------------------------------------------------------------------------------------
  1   N00E005       0.0010       4.9990       5.0010       9.9990  1541717  4708283
  2   N00E010       0.0010       4.9990      10.0010      14.9990  6250000        0
  3   N00E015       0.0010       4.9990      15.0010      19.9990  6250000        0
  4   N00E020       0.0010       4.9990      20.0010      24.9990  6250000        0
  5   N00E025       0.0010       4.9990      25.0010      29.9990  6250000        0
  6   N00E030       0.0010       4.9990      30.0010      34.9990  6250000        0
  7   N00E035       0.0010       4.9990      35.0010      39.9990  6250000        0
  8   N00E040       0.0010       4.9990      40.0010      44.9990  5783917   466083
  9   N00E045       0.0010       4.9990      45.0010      49.9990  1629115  4620885
 10   N00E070       0.0010       4.9990      70.0010      74.9990   606427  5643573
 11   N00E095       0.0010       4.9990      95.0010      99.9990  3036559  3213441
 12   N00E100       0.0010       4.9990     100.0010     104.9990  4435233  1814767
 13   N00E105       0.0010       4.9990     105.0010     109.9990  1164448  5085552
 14   N00E110       0.0010       4.9990     110.0010     114.9990  4128739  2121261
 15   N00E115       0.0010       4.9990     115.0010     119.9990  4283792  1966208
 16   N00E120       0.0010       4.9990     120.0010     124.9990  1121868  5128132
 17   N00E125       0.0010       4.9990     125.0010     129.9990  1243179  5006821
 18   N00E130       0.0010       4.9990     130.0010     134.9990   141548  6108452
 19   N00E150       0.0010       4.9990     150.0010     154.9990    22186  6227814
 20   N00E155       0.0010       4.9990     155.0010     159.9990     2954  6247046
 21   N00E165       0.0010       4.9990     165.0010     169.9990    19481  6230519
 22   N00E170       0.0010       4.9990     170.0010     174.9990   201075  6048925
 23   N00W005       0.0010       4.9990      -4.9990      -0.0010    71475  6178525
 24   N00W010       0.0010       4.9990      -9.9990      -5.0010   358050  5891950
 25   N00W050       0.0010       4.9990     -49.9990     -45.0010   125414  6124586
 26   N00W055       0.0010       4.9990     -54.9990     -50.0010  5475999   774001
 27   N00W060       0.0010       4.9990     -59.9990     -55.0010  6250000        0
 28   N00W065       0.0010       4.9990     -64.9990     -60.0010  6250000        0
 29   N00W070       0.0010       4.9990     -69.9990     -65.0010  6250000        0
 30   N00W075       0.0010       4.9990     -74.9990     -70.0010  6250000        0
 31   N00W080       0.0010       4.9990     -79.9990     -75.0010  4426280  1823720
 32   N00W085       0.0010       4.9990     -84.9990     -80.0010    46459  6203541
 33   N00W090       0.0010       4.9990     -89.9990     -85.0010     8438  6241562
 34   N00W095       0.0010       4.9990     -94.9990     -90.0010    82406  6167594
 35   N00W160       0.0010       4.9990    -159.9990    -155.0010    74783  6175217
 36   N00W165       0.0010       4.9990    -164.9990    -160.0010    11686  6238314
 37   N00W180       0.0010       4.9990    -179.9990    -175.0010    17985  6232015
 38   N05E000       5.0010       9.9990       0.0010       4.9990  4892848  1357152
 39   N05E005       5.0010       9.9990       5.0010       9.9990  6220782    29218
 40   N05E010       5.0010       9.9990      10.0010      14.9990  6250000        0
 41   N05E015       5.0010       9.9990      15.0010      19.9990  6250000        0
 42   N05E020       5.0010       9.9990      20.0010      24.9990  6250000        0
 43   N05E025       5.0010       9.9990      25.0010      29.9990  6250000        0
 44   N05E030       5.0010       9.9990      30.0010      34.9990  6250000        0
 45   N05E035       5.0010       9.9990      35.0010      39.9990  6250000        0
 46   N05E040       5.0010       9.9990      40.0010      44.9990  6250000        0
 47   N05E045       5.0010       9.9990      45.0010      49.9990  5695692   554308
 48   N05E050       5.0010       9.9990      50.0010      54.9990   319333  5930667
 49   N05E070       5.0010       9.9990      70.0010      74.9990   355613  5894387
 50   N05E075       5.0010       9.9990      75.0010      79.9990  1342413  4907587
 51   N05E080       5.0010       9.9990      80.0010      84.9990  1442116  4807884
 52   N05E090       5.0010       9.9990      90.0010      94.9990   223351  6026649
 53   N05E095       5.0010       9.9990      95.0010      99.9990  1761549  4488451
 54   N05E100       5.0010       9.9990     100.0010     104.9990  1714804  4535196
 55   N05E105       5.0010       9.9990     105.0010     109.9990   434881  5815119
 56   N05E110       5.0010       9.9990     110.0010     114.9990    21854  6228146
 57   N05E115       5.0010       9.9990     115.0010     119.9990  1896250  4353750
 58   N05E120       5.0010       9.9990     120.0010     124.9990  2333881  3916119
 59   N05E125       5.0010       9.9990     125.0010     129.9990  1396727  4853273
 60   N05E130       5.0010       9.9990     130.0010     134.9990   105745  6144255
 61   N05E135       5.0010       9.9990     135.0010     139.9990    72352  6177648
 62   N05E140       5.0010       9.9990     140.0010     144.9990    66361  6183639
 63   N05E145       5.0010       9.9990     145.0010     149.9990   111636  6138364
 64   N05E150       5.0010       9.9990     150.0010     154.9990   282095  5967905
 65   N05E155       5.0010       9.9990     155.0010     159.9990   126353  6123647
 66   N05E160       5.0010       9.9990     160.0010     164.9990    51694  6198306
 67   N05E165       5.0010       9.9990     165.0010     169.9990   417353  5832647
 68   N05E170       5.0010       9.9990     170.0010     174.9990   272272  5977728
 69   N05W005       5.0010       9.9990      -4.9990      -0.0010  6137137   112863
 70   N05W010       5.0010       9.9990      -9.9990      -5.0010  6185063    64937
 71   N05W015       5.0010       9.9990     -14.9990     -10.0010  2763584  3486416
 72   N05W055       5.0010       9.9990     -54.9990     -50.0010   500750  5749250
 73   N05W060       5.0010       9.9990     -59.9990     -55.0010  2350415  3899585
 74   N05W065       5.0010       9.9990     -64.9990     -60.0010  5985187   264813
 75   N05W070       5.0010       9.9990     -69.9990     -65.0010  6250000        0
 76   N05W075       5.0010       9.9990     -74.9990     -70.0010  6129456   120544
